0,1,2,3,4
현대차 또 신고가 … 두둑한 중간배당 기대,https://n.news.naver.com/mnews/article/009/0005324623,분기배당 주목할 곳은 작년보다 배당액 확대 전망에 투자 쏠리며 우선주 3% 상승 KB 등 금융주는 배당률 1%대 특별배당 주는 ETF에..,매일경제 ,2024-06-25 17:52:11
STX그린 한달새 69% 급등…바닷길 막히자 치솟는 해운株,https://n.news.naver.com/mnews/article/015/0005001708,해운주가 다시 상승세를 타고 있다. 해상 운임 상승과 선박 교체 수요 증가 등이 호재로 작용했다는 분석이 나온다. 전문가들은 실적 개선..,한국경제 ,2024-06-25 17:51:12
자산은 불리고 세금은 줄이고…S·T·A·R 꿀팁 쏟아진다,https://n.news.naver.com/mnews/article/011/0004357955,물가를 잡기 위해 시작된 고금리 시대가 점차 막을 내릴 것이라는 기대감이 부풀어 오르면서 주식·부동산 등이 상승세를 타고 있다. 글로벌..,서울경제 ,2024-06-25 17:50:17
"코스피, 엔비디아 폭락에도 선방…외인·기관 쌍끌이 매수 영향",https://n.news.naver.com/mnews/article/029/0002882941,간밤 뉴욕증시에서 엔비디아 등 반도체 업종이 조정을 겪은 가운데 25일 코스피지수는 소폭 상승 마감했다. 외국인과 기관의 쌍끌이 매수가..,디지털타임스 ,2024-06-25 17:48:07
"""얼어붙은 2차전지株…3분기엔 달린다""",https://n.news.naver.com/mnews/article/015/0005001692,2차전지 관련주 주가가 맥을 추지 못하고 있는 가운데 하반기부터 실적이 회복돼 상승 추세로 돌아설 것이란 전망이 나왔다. 주가가 충분히..,한국경제 ,2024-06-25 17:40:14
“하반기 코스피 3200 간다”…바로 ‘이것’ 때문에 낙관론 나왔다,https://n.news.naver.com/mnews/article/011/0004357920,세계 각국이 금리 인하 행렬에 동참하고 있는 가운데 미국을 제외한 글로벌 경제가 서서히 회복할 것이라는 기대가 확산하면서 코스피지수가 ..,서울경제 ,2024-06-25 17:32:16
"""엔비디아 올라탔더니 13% 떨어져"" ""제2의 테슬라 되나"" 서학개미 울상",https://n.news.naver.com/mnews/article/014/0005204252,"액면분할하고 주가가 저렴해진 것 같아 들어왔더니 그전보다 더 떨어졌네요."" 서학개미들의 전폭적인 지지를 받고 있는 엔비디아가 3거래일 ..",파이낸셜뉴스 ,2024-06-25 17:32:16
“1억 투자하면 1년간 만 원”…한화운용도 美빅테크 ETF 수수료 ‘싹뚝’,https://n.news.naver.com/mnews/article/011/0004357919,상장지수펀드(ETF) 시장이 급성장하면서 시장점유율을 확보하기 위한 자산운용사들의 수수료 출혈경쟁이 극으로 치닫고 있다. 비슷한 콘셉트..,서울경제 ,2024-06-25 17:32:13
"엔비디아, 날개없는 추락…데이터로 살펴본 닷컴 vs AI",https://n.news.naver.com/mnews/article/215/0001168021,AI 열풍을 주도하고 있는 엔비디아의 주가가 3거래일 동안 16% 급락하면서 시가총액 1위 자리를 반납했습니다. 이에 엔비디아를 팔아야..,한국경제TV ,2024-06-25 17:29:37
게임주 모처럼 웃었다…물적분할 발표 엔씨소프트 7%↑[핫종목],https://n.news.naver.com/mnews/article/421/0007623726,게임사 주가가 모처럼 전반적으로 강세를 보였다. 특히 물적 분할 계획을 공시한 엔씨소프트(036570)는 7%대 상승 마감하며 20만 ..,뉴스1 ,2024-06-25 17:26:42
